measurement_time	3D_X	3D_Y	3D_Z	3D_Q2	3D_Q1	2D_Y2	2D_Y1	2D_X1	2D_X2
6933019771493210112	-0.313215	-0.358183	-0.0514299	0.488704	-0.604715	2.30572	2.95978	-2.94996	-0.0484027
6933019765059964928	-0.311254	-0.357214	-0.0540159	0.487972	-0.60452	2.30569	2.95992	-2.9501	-0.0550352
6933019758626719744	-0.312547	-0.358457	-0.0542446	0.488688	-0.604715	2.30531	2.96001	-2.9502	-0.0393985
6933019752193472512	-0.313208	-0.369697	-0.0525458	0.45103	-0.559094	2.30512	2.95994	-2.95028	-0.0401714
6933019745760226304	-0.31254	-0.35835	-0.0550529	0.488387	-0.604632	2.30523	2.95996	-2.95002	-0.0555375
6933019739326981120	-0.314455	-0.355814	-0.0457846	0.488279	-0.602472	2.30593	2.95972	-2.95022	-0.0471838
6933019732893734912	-0.311783	-0.35733	-0.0544314	0.488254	-0.604388	2.30524	2.95959	-2.95009	-0.057035
6933019726460488704	-0.314244	-0.356834	-0.0458731	0.488593	-0.604888	2.305	2.95963	-2.95002	-0.0471645
6933019720027242496	-0.312312	-0.35726	-0.0544909	0.488854	-0.604194	2.3054	2.96003	-2.95017	-0.0569481
6933019713593996288	-0.313983	-0.357067	-0.045907	0.488696	-0.604404	2.30505	2.95966	-2.94995	-0.0715285
6933019707160750080	-0.312973	-0.357692	-0.0550384	0.488592	-0.603889	2.3056	2.9595	-2.95006	-0.0509114
6933019700727504896	-0.313951	-0.355438	-0.045696	0.488432	-0.604207	2.30532	2.95964	-2.9501	-0.0472289
6933019694294258688	-0.312492	-0.357201	-0.0544507	0.488537	-0.604096	2.30525	2.95935	-2.95006	-0.05138
6933019687861011456	-0.314078	-0.357486	-0.0461759	0.488199	-0.604425	2.30562	2.95949	-2.95001	-0.0401746
6933019681427765248	-0.316163	-0.397747	-0.0492674	0.365174	-0.454793	2.30527	2.95972	-2.95089	-0.0277374
6933019674994520064	-0.313635	-0.361629	-0.0501353	0.475918	-0.589345	2.30528	2.95972	-2.95008	-0.081932
6933019668561273856	-0.31202	-0.357592	-0.0549241	0.488886	-0.604069	2.30504	2.95953	-2.95018	-0.0468618
6933019662128028672	-0.314146	-0.356362	-0.0462934	0.486579	-0.602035	2.3054	2.95983	-2.95024	-0.0463207
6933019655694780416	-0.31221	-0.357739	-0.0542092	0.488152	-0.604135	2.30552	2.95986	-2.95003	-0.0498696
6933019649261536256	-0.31391	-0.356785	-0.0458731	0.488585	-0.605085	2.30559	2.95984	-2.95008	-0.0483287
6933019642828290048	-0.312382	-0.357479	-0.0544088	0.488477	-0.604357	2.30568	2.95966	-2.94994	-0.0510692
6933019636395043840	-0.313534	-0.35745	-0.0461791	0.488278	-0.604689	2.30545	2.95971	-2.95012	-0.0475558
6933019629961797632	-0.312015	-0.357199	-0.054251	0.488221	-0.603924	2.30536	2.95978	-2.95006	-0.0345534
6933019623528551424	-0.31165	-0.357853	-0.0542301	0.488762	-0.604021	2.30537	2.95955	-2.95015	-0.0541705
6933019617095305216	-0.31417	-0.356806	-0.0461469	0.488276	-0.604661	2.30487	2.95955	-2.94989	-0.046229
6933019610662060032	-0.311746	-0.357239	-0.0540787	0.487899	-0.60403	2.30504	2.95986	-2.95008	-0.0597514
6933019604228813824	-0.312439	-0.356874	-0.050269	0.488316	-0.604209	2.30537	2.95996	-2.95011	-0.0760499
6933019597795567616	-0.312323	-0.358536	-0.0544185	0.488225	-0.604099	2.30524	2.95991	-2.95023	-0.0527213
6933019591362321408	-0.314307	-0.381856	-0.051277	0.410435	-0.510096	2.30543	2.95983	-2.95046	-0.0315842
6933019584929075200	-0.31203	-0.357328	-0.0543203	0.48869	-0.604088	2.30549	2.95942	-2.95021	-0.0526537
6933019578495828992	-0.314352	-0.357297	-0.0465317	0.488237	-0.603946	2.30529	2.95955	-2.95018	-0.0470953
6933019572062583808	-0.316318	-0.393995	-0.0458345	0.37679	-0.469107	2.30577	2.95974	-2.95051	-0.0574199
6933019565629337600	-0.312613	-0.358288	-0.0517021	0.48841	-0.604442	2.30546	2.95971	-2.95019	-0.0529902
6933019559196090368	-0.311801	-0.357629	-0.0543895	0.4882	-0.604404	2.3057	2.9598	-2.95015	-0.0569078
6933019552762845184	-0.3125	-0.359065	-0.0523623	0.488133	-0.604051	2.30517	2.95964	-2.95014	-0.0538549
6933019546329598976	-0.315382	-0.357748	-0.041078	0.488514	-0.604196	2.30558	2.95984	-2.95022	-0.0500532
6933019539896353792	-0.31192	-0.357581	-0.0543492	0.488242	-0.604151	2.30592	2.95974	-2.95019	-0.0520466
6933019533463107584	-0.31368	-0.35728	-0.0465591	0.488603	-0.604502	2.30545	2.95948	-2.95015	-0.0437847
6933019527029861376	-0.313192	-0.356713	-0.0477667	0.488505	-0.604386	2.30545	2.95963	-2.9501	-0.0421809
6933019520596615168	-0.31237	-0.357808	-0.0545811	0.488355	-0.604442	2.30519	2.9598	-2.95005	-0.0466074
6933019514163368960	-0.314075	-0.357106	-0.0468215	0.488212	-0.604306	2.30508	2.95985	-2.94992	-0.0467732
6933019507730122752	-0.312157	-0.356681	-0.0538549	0.48859	-0.604373	2.30488	2.95957	-2.95018	-0.0532301
6933019501296876544	-0.314052	-0.357355	-0.0462242	0.48832	-0.604673	2.30532	2.9597	-2.94998	-0.0361733
6933019494863631360	-0.312648	-0.357954	-0.0545344	0.487832	-0.604462	2.30552	2.95976	-2.95001	-0.0626852
6933019488430385152	-0.314063	-0.355927	-0.0460068	0.488109	-0.603806	2.30545	2.95996	-2.95004	-0.0454174
6933019481997138944	-0.314439	-0.356581	-0.0462081	0.488018	-0.604589	2.3056	2.95954	-2.95009	-0.0683886
6933019475563891712	-0.31249	-0.357652	-0.0495621	0.488117	-0.604288	2.30549	2.95981	-2.94998	-0.0471194
6933019469130646528	-0.31193	-0.357563	-0.0544314	0.487952	-0.603088	2.30566	2.95976	-2.95003	-0.0543701
6933019462697401344	-0.312822	-0.357999	-0.0549225	0.488537	-0.604095	2.30529	2.95972	-2.95003	-0.0497279
6933019456264155136	-0.314004	-0.356061	-0.045498	0.487257	-0.604069	2.30568	2.95989	-2.95016	-0.0387351
6933019449830907904	-0.315598	-0.385581	-0.046791	0.402093	-0.499655	2.30522	2.95988	-2.95061	-0.0329206
6933019443397662720	-0.312413	-0.357537	-0.0546874	0.488184	-0.604148	2.30528	2.9597	-2.95009	-0.0562943
6933019436964415488	-0.312925	-0.372675	-0.0510741	0.439632	-0.545564	2.30483	2.9602	-2.95035	-0.0611877
6933019430531171328	-0.314046	-0.356339	-0.0479229	0.488012	-0.601596	2.30522	2.9599	-2.95017	-0.0678749
6933019424097925120	-0.314806	-0.356864	-0.0461775	0.487788	-0.604599	2.30525	2.96001	-2.95	-0.0467813
6933019417664677888	-0.31179	-0.357679	-0.054309	0.488022	-0.604153	2.30527	2.95978	-2.94999	-0.0517149
6933019411231432704	-0.314123	-0.357573	-0.0466702	0.488611	-0.604483	2.30514	2.9601	-2.95004	-0.0442114
6933019404798186496	-0.312886	-0.35709	-0.0502271	0.488091	-0.604354	2.30518	2.95985	-2.95016	-0.0454561
6933019398364940288	-0.312033	-0.35755	-0.0539225	0.488609	-0.604449	2.30552	2.9596	-2.9502	-0.0505185
6933019391931695104	-0.31682	-0.385576	-0.042949	0.401294	-0.499105	2.30578	2.95981	-2.95061	-0.0319433
6933019385498447872	-0.316496	-0.384933	-0.0441808	0.402014	-0.497179	2.30529	2.95976	-2.95049	-0.0436059
6933019379065201664	-0.312386	-0.357051	-0.0540578	0.488492	-0.604314	2.30555	2.96002	-2.95017	-0.0570109
6933019372631955456	-0.313597	-0.356603	-0.0462902	0.488326	-0.604715	2.3055	2.95984	-2.95012	-0.0457314
6933019366198710272	-0.312017	-0.357016	-0.0541367	0.487772	-0.604378	2.30541	2.95979	-2.95012	-0.0576598
6933019359765464064	-0.314387	-0.357043	-0.0464947	0.487856	-0.604528	2.30512	2.95959	-2.95033	-0.0638059
6933019353332217856	-0.31402	-0.357045	-0.045878	0.48858	-0.604827	2.30544	2.95993	-2.95004	-0.0450197
6933019346898971648	-0.313661	-0.355827	-0.0466122	0.487899	-0.602604	2.30574	2.96007	-2.9502	-0.0454255
6933019340465725440	-0.312044	-0.357492	-0.0542961	0.488687	-0.604088	2.30553	2.95982	-2.95016	-0.0530127
6933019334032480256	-0.313915	-0.356774	-0.045886	0.488101	-0.604405	2.30556	2.95998	-2.94992	-0.0331106
6933019327599233024	-0.315121	-0.372623	-0.0462789	0.441068	-0.542669	2.30537	2.96015	-2.9501	-0.0423967
6933019321165986816	-0.312539	-0.357321	-0.0551399	0.488411	-0.603948	2.30546	2.96	-2.94997	-0.0527052
6933019314732741632	-0.314084	-0.356336	-0.0455012	0.488332	-0.604745	2.30568	2.9596	-2.95029	-0.041057
6933019308299495424	-0.313822	-0.35735	-0.0463771	0.488679	-0.60419	2.30559	2.95997	-2.94994	-0.0604358
6933019301866250240	-0.314891	-0.357524	-0.046572	0.488331	-0.604536	2.30562	2.95965	-2.95017	-0.0558032
6933019295433003008	-0.313553	-0.35609	-0.0470969	0.488305	-0.599644	2.30537	2.95961	-2.94997	-0.049934
6933019288999756800	-0.312447	-0.358444	-0.0545489	0.48812	-0.604173	2.30543	2.9596	-2.95007	-0.056903
6933019282566510592	-0.314033	-0.356598	-0.0458667	0.488559	-0.603426	2.30538	2.95949	-2.95021	-0.0438523
6933019276133265408	-0.313363	-0.357072	-0.0503978	0.488595	-0.604386	2.30535	2.95966	-2.95012	-0.0500693
6933019269700019200	-0.312836	-0.358534	-0.0506329	0.488654	-0.604331	2.30574	2.95977	-2.94988	-0.0390571
6933019263266774016	-0.314952	-0.356616	-0.0457089	0.488283	-0.604608	2.30542	2.95957	-2.95	-0.0464898
6933019256833525760	-0.311798	-0.357236	-0.0541319	0.488236	-0.604249	2.30555	2.95946	-2.94993	-0.0523719
6933019250400280576	-0.314495	-0.357474	-0.0468248	0.488535	-0.604533	2.30557	2.95977	-2.95002	-0.0479986
6933019243967035392	-0.311793	-0.357064	-0.0537132	0.488303	-0.604357	2.30514	2.95977	-2.94996	-0.0403292
6933019237533789184	-0.311953	-0.357177	-0.05428	0.488569	-0.604405	2.30558	2.95963	-2.95001	-0.0534088
6933019231100542976	-0.311819	-0.356893	-0.0539048	0.489081	-0.604409	2.30498	2.95994	-2.95005	-0.0674224
6933019224667297792	-0.313811	-0.35773	-0.0473722	0.488083	-0.604315	2.30548	2.95982	-2.95013	-0.0623551
6933019218234050560	-0.314075	-0.357231	-0.0466992	0.488139	-0.604446	2.30543	2.95977	-2.94974	-0.0482047
6933019211800804352	-0.311911	-0.357418	-0.0543782	0.487986	-0.604425	2.30514	2.96017	-2.94989	-0.0517858
6933019205367558144	-0.31412	-0.357148	-0.0467958	0.488128	-0.604289	2.30546	2.96001	-2.95005	-0.0487699
6933019198934312960	-0.312239	-0.357479	-0.0540191	0.488659	-0.604183	2.30522	2.95976	-2.95007	-0.0509742
6933019192501067776	-0.313139	-0.35685	-0.0504526	0.488588	-0.60413	2.30535	2.95964	-2.95012	-0.0299402
6933019186067820544	-0.313387	-0.369211	-0.0521851	0.451732	-0.55911	2.30538	2.95979	-2.9503	-0.0471017
6933019179634574336	-0.312502	-0.358548	-0.054557	0.488724	-0.604582	2.30482	2.95962	-2.95013	-0.0554586
6933019173201329152	-0.313811	-0.361128	-0.04853	0.479599	-0.588422	2.30554	2.95994	-2.95004	-0.047588
6933019166768081920	-0.312186	-0.357602	-0.0543605	0.488247	-0.604669	2.30566	2.95984	-2.95011	-0.0685737
6933019160334836736	-0.312068	-0.358568	-0.0546423	0.488181	-0.604394	2.3055	2.95974	-2.95003	-0.0542832
6933019153901591552	-0.313564	-0.355932	-0.0492594	0.488345	-0.601948	2.30508	2.95967	-2.94996	-0.0651859
